year,month,age,user type,trips,avgtripdur
2017,Jan,17,Subscriber,859,10.78034536
2017,Jan,18,Customer,6,12.25277778
2017,Jan,18,Subscriber,1799,10.17583843
2017,Jan,19,Customer,114,21.84532164
2017,Jan,19,Subscriber,1814,10.66074972
2017,Jan,20,Customer,92,21.14601449
2017,Jan,20,Subscriber,2773,12.01297031
2017,Jan,21,Customer,157,32.23577495
2017,Jan,21,Subscriber,3696,12.28969156
2017,Jan,22,Customer,107,23.11152648
2017,Jan,22,Subscriber,4577,11.76453281
2017,Jan,23,Customer,108,21.59151235
2017,Jan,23,Subscriber,7887,10.05483919
2017,Jan,24,Customer,131,19.8562341
2017,Jan,24,Subscriber,13841,12.32863594
2017,Jan,25,Customer,193,25.11174439
2017,Jan,25,Subscriber,17902,10.95744889
2017,Jan,26,Customer,108,24.78611111
2017,Jan,26,Subscriber,21374,11.33184866
2017,Jan,27,Customer,167,33.5992016
2017,Jan,27,Subscriber,24609,16.67981023
2017,Jan,28,Customer,159,20.3860587
2017,Jan,28,Subscriber,26301,10.66908799
2017,Jan,29,Customer,164,21.36768293
2017,Jan,29,Subscriber,26581,11.19648496
2017,Jan,30,Customer,171,23.95243665
2017,Jan,30,Subscriber,25046,11.1230263
2017,Jan,31,Customer,127,21.24422572
2017,Jan,31,Subscriber,26416,10.86747678
2017,Jan,32,Customer,59,63.09322034
2017,Jan,32,Subscriber,27097,11.34850537
2017,Jan,33,Customer,157,23.12866242
2017,Jan,33,Subscriber,25363,10.25108886
2017,Jan,34,Customer,130,22.93525641
2017,Jan,34,Subscriber,24452,11.79660423
2017,Jan,35,Customer,75,19.58822222
2017,Jan,35,Subscriber,22030,11.47511878
2017,Jan,36,Customer,76,20.13333333
2017,Jan,36,Subscriber,20968,12.24400356
2017,Jan,37,Customer,22868,41.85701417
2017,Jan,37,Subscriber,25768,11.3883984
2017,Jan,38,Customer,82,25.92682927
2017,Jan,38,Subscriber,18397,11.34071225
2017,Jan,39,Customer,50,23.59633333
2017,Jan,39,Subscriber,17150,11.41418173
2017,Jan,40,Customer,54,14.85679012
2017,Jan,40,Subscriber,16232,11.55904797
2017,Jan,41,Customer,48,49.99409722
2017,Jan,41,Subscriber,16341,11.97314934
2017,Jan,42,Customer,100,20.767
2017,Jan,42,Subscriber,15196,11.83050803
2017,Jan,43,Customer,45,15.9037037
2017,Jan,43,Subscriber,15751,11.9052949
2017,Jan,44,Customer,41,27.71544715
2017,Jan,44,Subscriber,13883,12.28324209
2017,Jan,45,Customer,43,30.02093023
2017,Jan,45,Subscriber,15217,11.20448183
2017,Jan,46,Customer,42,21.40753968
2017,Jan,46,Subscriber,15668,11.91475513
2017,Jan,47,Customer,39,26.20555556
2017,Jan,47,Subscriber,17241,11.9847389
2017,Jan,48,Customer,56,20.42619048
2017,Jan,48,Subscriber,15268,11.60707798
2017,Jan,49,Customer,48,20.090625
2017,Jan,49,Subscriber,13622,14.17900455
2017,Jan,50,Customer,76,22.46973684
