year,month,stationid,startrips,endtrips
2017,Jan,72,1526,1486
2017,Jan,79,1079,1104
2017,Jan,82,541,534
2017,Jan,83,643,649
2017,Jan,116,1918,1939
2017,Jan,119,156,160
2017,Jan,120,403,351
2017,Jan,127,2335,2353
2017,Jan,128,2711,2862
2017,Jan,143,1157,1086
2017,Jan,144,234,288
2017,Jan,146,1137,1175
2017,Jan,147,2133,2246
2017,Jan,150,1714,1305
2017,Jan,151,3033,3089
2017,Jan,152,929,957
2017,Jan,153,2489,2395
2017,Jan,157,797,762
2017,Jan,161,2336,2492
2017,Jan,164,1591,1681
2017,Jan,167,2361,2374
2017,Jan,168,3698,3804
2017,Jan,173,2709,2716
2017,Jan,174,2122,2108
2017,Jan,195,1771,1770
2017,Jan,212,2442,2440
2017,Jan,216,223,172
2017,Jan,217,567,796
2017,Jan,224,805,804
2017,Jan,225,1000,1091
2017,Jan,228,1709,1794
2017,Jan,229,3809,3913
2017,Jan,232,421,379
2017,Jan,236,2702,2745
2017,Jan,237,2610,2665
2017,Jan,238,1370,1384
2017,Jan,239,987,871
2017,Jan,241,493,388
2017,Jan,242,550,691
2017,Jan,243,475,695
2017,Jan,244,776,706
2017,Jan,245,280,183
2017,Jan,247,1287,1293
2017,Jan,248,527,530
2017,Jan,249,921,921
2017,Jan,251,2134,2169
2017,Jan,252,1585,1641
2017,Jan,253,1986,2013
2017,Jan,254,1419,1436
2017,Jan,255,68,57
2017,Jan,257,1659,1738
2017,Jan,258,554,361
2017,Jan,259,845,962
2017,Jan,260,720,759
2017,Jan,261,634,634
2017,Jan,262,469,345
2017,Jan,264,957,992
2017,Jan,265,1929,1976
2017,Jan,266,600,611
2017,Jan,267,1406,1348
2017,Jan,268,1891,1917
2017,Jan,270,874,890
2017,Jan,274,830,887
2017,Jan,275,375,340
2017,Jan,276,905,958
2017,Jan,278,355,308
2017,Jan,279,1303,1328
2017,Jan,280,1444,1447
2017,Jan,281,2398,2431
2017,Jan,282,587,557
2017,Jan,284,3802,3887
2017,Jan,285,4407,4573
2017,Jan,289,359,179
2017,Jan,291,848,852
2017,Jan,293,2721,2864
2017,Jan,295,1261,1264
2017,Jan,296,1549,1643
2017,Jan,297,2683,2725
2017,Jan,298,93,89
2017,Jan,301,2486,2509
2017,Jan,302,1429,1410
2017,Jan,303,1417,1537
2017,Jan,304,1657,2322
2017,Jan,305,2167,2183
2017,Jan,306,1108,1163
2017,Jan,307,2331,2264
2017,Jan,308,1053,1084
2017,Jan,309,1133,1221
2017,Jan,310,677,671
2017,Jan,311,1213,1219
2017,Jan,312,2524,2392
2017,Jan,313,653,725
2017,Jan,315,1007,1085
2017,Jan,316,1017,1018
2017,Jan,317,2229,2143
2017,Jan,319,1411,1392
2017,Jan,320,1310,1375
2017,Jan,321,578,536
2017,Jan,322,584,514
2017,Jan,323,1185,1213
2017,Jan,324,906,1592
2017,Jan,325,1727,1679
2017,Jan,326,2178,2133
2017,Jan,327,2607,2703
2017,Jan,328,1397,1408
2017,Jan,330,1158,1232
2017,Jan,331,556,536
2017,Jan,332,684,677
2017,Jan,334,2572,2613
2017,Jan,335,1840,1942
2017,Jan,336,1720,1877
2017,Jan,337,811,1093
2017,Jan,339,439,403
2017,Jan,340,1053,1014
2017,Jan,341,756,772
2017,Jan,342,1166,1143
2017,Jan,343,402,512
2017,Jan,344,448,436
2017,Jan,345,2635,2643
2017,Jan,346,1769,1801
2017,Jan,347,1925,1929
2017,Jan,348,1924,2260
2017,Jan,349,932,940
2017,Jan,350,1578,1518
2017,Jan,351,1015,1071
