year,month,user type,gender,trips
2017,Jan,Customer,Female,1022
2017,Jan,Customer,Male,2371
2017,Jan,Customer,Unknown,22818
2017,Jan,Subscriber,Female,151970
2017,Jan,Subscriber,Male,539478
2017,Jan,Subscriber,Unknown,9017
2017,Feb,Customer,Female,2631
2017,Feb,Customer,Male,5242
2017,Feb,Customer,Unknown,42623
2017,Feb,Subscriber,Female,169154
2017,Feb,Subscriber,Male,562602
2017,Feb,Subscriber,Unknown,9395
2017,Mar,Customer,Female,1660
2017,Mar,Customer,Male,3534
2017,Mar,Customer,Unknown,26719
2017,Mar,Subscriber,Female,151816
2017,Mar,Subscriber,Male,535217
2017,Mar,Subscriber,Unknown,8719
2017,Apr,Customer,Female,12974
2017,Apr,Customer,Male,17682
2017,Apr,Customer,Unknown,158204
2017,Apr,Subscriber,Female,274755
2017,Apr,Subscriber,Male,837170
2017,Apr,Subscriber,Unknown,14619
2017,May,Customer,Female,11260
2017,May,Customer,Male,18696
2017,May,Customer,Unknown,159804
2017,May,Subscriber,Female,328148
2017,May,Subscriber,Male,987584
2017,May,Subscriber,Unknown,17776
2017,Jun,Customer,Female,13493
2017,Jun,Customer,Male,23525
2017,Jun,Customer,Unknown,177624
2017,Jun,Subscriber,Female,387760
2017,Jun,Subscriber,Male,1108405
2017,Jun,Subscriber,Unknown,20787
2017,Jul,Customer,Female,17494
2017,Jul,Customer,Male,30085
2017,Jul,Customer,Unknown,214133
2017,Jul,Subscriber,Female,383527
2017,Jul,Subscriber,Male,1069299
2017,Jul,Subscriber,Unknown,21061
2017,Aug,Customer,Female,18985
2017,Aug,Customer,Male,32251
2017,Aug,Customer,Unknown,206823
2017,Aug,Subscriber,Female,403400
2017,Aug,Subscriber,Male,1129760
2017,Aug,Subscriber,Unknown,25279
2017,Sep,Customer,Female,17674
2017,Sep,Customer,Male,29075
2017,Sep,Customer,Unknown,188240
2017,Sep,Subscriber,Female,426458
2017,Sep,Subscriber,Male,1189449
2017,Sep,Subscriber,Unknown,27202
2017,Oct,Customer,Female,13734
2017,Oct,Customer,Male,23327
2017,Oct,Customer,Unknown,167939
2017,Oct,Subscriber,Female,428071
2017,Oct,Subscriber,Male,1228019
2017,Oct,Subscriber,Unknown,36502
2017,Nov,Customer,Female,6708
2017,Nov,Customer,Male,12725
2017,Nov,Customer,Unknown,69863
2017,Nov,Subscriber,Female,297492
2017,Nov,Subscriber,Male,918002
2017,Nov,Subscriber,Unknown,25859
2017,Dec,Customer,Female,2603
2017,Dec,Customer,Male,4620
2017,Dec,Customer,Unknown,27171
2017,Dec,Subscriber,Female,192199
2017,Dec,Subscriber,Male,646928
2017,Dec,Subscriber,Unknown,16446
