year,month,age,usertype,Trips,Avgtripdur
2018,Jan,16,Subscriber,4,7.166666667
2018,Jan,17,Customer,22,24.97651515
2018,Jan,17,Subscriber,591,11.56644106
2018,Jan,18,Customer,59,25.71045198
2018,Jan,18,Subscriber,1121,10.17233125
2018,Jan,19,Customer,111,27.33183183
2018,Jan,19,Subscriber,2053,9.274249066
2018,Jan,20,Customer,95,19.22719298
2018,Jan,20,Subscriber,3006,10.75154691
2018,Jan,21,Customer,96,22.89427083
2018,Jan,21,Subscriber,4018,9.822357724
2018,Jan,22,Customer,96,21.33645833
2018,Jan,22,Subscriber,4835,10.08757325
2018,Jan,23,Customer,260,24.81282051
2018,Jan,23,Subscriber,8068,11.3696765
2018,Jan,24,Customer,165,34.88252525
2018,Jan,24,Subscriber,12105,10.96337877
2018,Jan,25,Customer,208,23.09158654
2018,Jan,25,Subscriber,18572,11.33840548
2018,Jan,26,Customer,256,22.73457031
2018,Jan,26,Subscriber,22674,10.98209329
2018,Jan,27,Customer,199,30.530067
2018,Jan,27,Subscriber,24417,11.0854432
2018,Jan,28,Customer,231,76.42041847
2018,Jan,28,Subscriber,26510,12.2953024
2018,Jan,29,Customer,211,79.22567141
2018,Jan,29,Subscriber,26563,11.2913244
2018,Jan,30,Customer,280,37.51458333
2018,Jan,30,Subscriber,25537,11.14506272
2018,Jan,31,Customer,328,30.25091463
2018,Jan,31,Subscriber,25134,11.14699942
2018,Jan,32,Customer,156,26.50267094
2018,Jan,32,Subscriber,24806,10.79365879
2018,Jan,33,Customer,138,32.83780193
2018,Jan,33,Subscriber,25995,11.72862281
2018,Jan,34,Customer,167,30.53892216
2018,Jan,34,Subscriber,23749,10.23825424
2018,Jan,35,Customer,146,26.59748858
2018,Jan,35,Subscriber,22023,15.39406984
2018,Jan,36,Customer,108,23.90756173
2018,Jan,36,Subscriber,22025,10.80909799
2018,Jan,37,Customer,120,39.04486111
2018,Jan,37,Subscriber,20013,11.07093056
2018,Jan,38,Customer,157,22.48832272
2018,Jan,38,Subscriber,18310,11.26142363
2018,Jan,39,Customer,93,20.56774194
2018,Jan,39,Subscriber,18544,11.80390692
2018,Jan,40,Customer,76,29.61578947
2018,Jan,40,Subscriber,16576,11.08510296
2018,Jan,41,Customer,108,329.8570988
2018,Jan,41,Subscriber,15497,13.92632553
2018,Jan,42,Customer,68,20.275
2018,Jan,42,Subscriber,15197,11.40523459
2018,Jan,43,Customer,83,50.91425703
2018,Jan,43,Subscriber,14349,14.45355193
2018,Jan,44,Customer,83,26.94738956
2018,Jan,44,Subscriber,13768,11.15858634
2018,Jan,45,Customer,59,267.7426554
2018,Jan,45,Subscriber,13931,11.89454454
2018,Jan,46,Customer,55,29.29
2018,Jan,46,Subscriber,13905,11.85785808
2018,Jan,47,Customer,70,20.15880952
2018,Jan,47,Subscriber,14666,11.03628915
2018,Jan,48,Customer,74,20.68693694
2018,Jan,48,Subscriber,16315,12.22249668
2018,Jan,49,Customer,17160,61.71893065
2018,Jan,49,Subscriber,22691,12.13112614
