year,month,starthour,season,weekday,trips
2018,Jan,00,Winter,Friday,614
2018,Jan,00,Winter,Monday,634
2018,Jan,00,Winter,Saturday,926
2018,Jan,00,Winter,Sunday,1153
2018,Jan,00,Winter,Thursday,581
2018,Jan,00,Winter,Tuesday,556
2018,Jan,00,Winter,Wednesday,699
2018,Jan,01,Winter,Friday,315
2018,Jan,01,Winter,Monday,408
2018,Jan,01,Winter,Saturday,603
2018,Jan,01,Winter,Sunday,645
2018,Jan,01,Winter,Thursday,265
2018,Jan,01,Winter,Tuesday,225
2018,Jan,01,Winter,Wednesday,292
2018,Jan,02,Winter,Friday,164
2018,Jan,02,Winter,Monday,225
2018,Jan,02,Winter,Saturday,410
2018,Jan,02,Winter,Sunday,389
2018,Jan,02,Winter,Thursday,118
2018,Jan,02,Winter,Tuesday,123
2018,Jan,02,Winter,Wednesday,156
2018,Jan,03,Winter,Friday,94
2018,Jan,03,Winter,Monday,156
2018,Jan,03,Winter,Saturday,205
2018,Jan,03,Winter,Sunday,245
2018,Jan,03,Winter,Thursday,90
2018,Jan,03,Winter,Tuesday,94
2018,Jan,03,Winter,Wednesday,105
2018,Jan,04,Winter,Friday,161
2018,Jan,04,Winter,Monday,212
2018,Jan,04,Winter,Saturday,165
2018,Jan,04,Winter,Sunday,145
2018,Jan,04,Winter,Thursday,167
2018,Jan,04,Winter,Tuesday,205
2018,Jan,04,Winter,Wednesday,204
2018,Jan,05,Winter,Friday,773
2018,Jan,05,Winter,Monday,922
2018,Jan,05,Winter,Saturday,210
2018,Jan,05,Winter,Sunday,106
2018,Jan,05,Winter,Thursday,901
2018,Jan,05,Winter,Tuesday,1271
2018,Jan,05,Winter,Wednesday,1322
2018,Jan,06,Winter,Friday,2640
2018,Jan,06,Winter,Monday,3096
2018,Jan,06,Winter,Saturday,543
2018,Jan,06,Winter,Sunday,269
2018,Jan,06,Winter,Thursday,2946
2018,Jan,06,Winter,Tuesday,3460
2018,Jan,06,Winter,Wednesday,4064
2018,Jan,07,Winter,Friday,5572
2018,Jan,07,Winter,Monday,6615
2018,Jan,07,Winter,Saturday,1199
2018,Jan,07,Winter,Sunday,742
2018,Jan,07,Winter,Thursday,6098
2018,Jan,07,Winter,Tuesday,7294
2018,Jan,07,Winter,Wednesday,8636
2018,Jan,08,Winter,Friday,10017
2018,Jan,08,Winter,Monday,11293
2018,Jan,08,Winter,Saturday,2555
2018,Jan,08,Winter,Sunday,1445
2018,Jan,08,Winter,Thursday,10833
2018,Jan,08,Winter,Tuesday,12758
2018,Jan,08,Winter,Wednesday,15140
2018,Jan,09,Winter,Friday,7354
2018,Jan,09,Winter,Monday,8299
2018,Jan,09,Winter,Saturday,4147
2018,Jan,09,Winter,Sunday,2548
2018,Jan,09,Winter,Thursday,7434
2018,Jan,09,Winter,Tuesday,8651
2018,Jan,09,Winter,Wednesday,10659
2018,Jan,10,Winter,Friday,3896
2018,Jan,10,Winter,Monday,4595
2018,Jan,10,Winter,Saturday,5407
2018,Jan,10,Winter,Sunday,3746
2018,Jan,10,Winter,Thursday,3748
2018,Jan,10,Winter,Tuesday,4789
2018,Jan,10,Winter,Wednesday,5478
2018,Jan,11,Winter,Friday,3580
2018,Jan,11,Winter,Monday,4487
2018,Jan,11,Winter,Saturday,6672
2018,Jan,11,Winter,Sunday,4428
2018,Jan,11,Winter,Thursday,3273
2018,Jan,11,Winter,Tuesday,4360
2018,Jan,11,Winter,Wednesday,4728
2018,Jan,12,Winter,Friday,4021
2018,Jan,12,Winter,Monday,5171
2018,Jan,12,Winter,Saturday,7464
2018,Jan,12,Winter,Sunday,5023
2018,Jan,12,Winter,Thursday,3779
2018,Jan,12,Winter,Tuesday,5130
2018,Jan,12,Winter,Wednesday,5595
2018,Jan,13,Winter,Friday,4060
2018,Jan,13,Winter,Monday,5476
2018,Jan,13,Winter,Saturday,8052
2018,Jan,13,Winter,Sunday,5911
2018,Jan,13,Winter,Thursday,3978
2018,Jan,13,Winter,Tuesday,5899
2018,Jan,13,Winter,Wednesday,5933
2018,Jan,14,Winter,Friday,4188
2018,Jan,14,Winter,Monday,5866
2018,Jan,14,Winter,Saturday,8150
2018,Jan,14,Winter,Sunday,6289
2018,Jan,14,Winter,Thursday,4499
