Número de registros,Número de registros por stations.json,Altitude,Available Bikes,Available Docks,City,Execution Time,Id,Land Mark,Last Communication Time,Latitude,Location,Longitude,Postal Code,stAddress1,stAddress2,stationBeanList Índice (generado),Station Name,Status Key,Status Value,Test Station,Total Docks,Índice Del Documento (Generado)
1,1,,11,35,,16/07/2019 14:13,168,,16/07/2019 14:09,40.73971301,,-73.99456405,,W 18 St & 6 Ave,,1,W 18 St & 6 Ave,1,In Service,Falso,47,1
1,1,,25,39,,16/07/2019 14:13,281,,16/07/2019 14:11,40.7643971,,-73.97371465,,Grand Army Plaza & Central Park S,,2,Grand Army Plaza & Central Park S,1,In Service,Falso,66,1
1,1,,15,38,,16/07/2019 14:13,285,,16/07/2019 14:09,40.73454567,,-73.99074142,,Broadway & E 14 St,,3,Broadway & E 14 St,1,In Service,Falso,53,1
1,1,,11,24,,16/07/2019 14:13,298,,16/07/2019 14:10,40.68683208,,-73.9796772,,3 Ave & Schermerhorn St,,4,3 Ave & Schermerhorn St,1,In Service,Falso,35,1
1,1,,9,23,,16/07/2019 14:13,304,,16/07/2019 14:09,40.70463334,,-74.01361706,,Broadway & Battery Pl,,5,Broadway & Battery Pl,1,In Service,Falso,33,1
1,1,,5,31,,16/07/2019 14:13,337,,16/07/2019 14:11,40.7037992,,-74.00838676,,Old Slip & Front St,,6,Old Slip & Front St,1,In Service,Falso,37,1
1,1,,16,16,,16/07/2019 14:13,347,,16/07/2019 14:12,40.728846,,-74.008591,,Greenwich St & W Houston St,,7,Greenwich St & W Houston St,1,In Service,Falso,35,1
1,1,,17,46,,16/07/2019 14:13,359,,16/07/2019 14:11,40.75510267,,-73.97498696,,E 47 St & Park Ave,,8,E 47 St & Park Ave,1,In Service,Falso,64,1
1,1,,19,25,,16/07/2019 14:13,377,,16/07/2019 14:09,40.72243797,,-74.00566443,,6 Ave & Canal St,,9,6 Ave & Canal St,1,In Service,Falso,47,1
1,1,,12,23,,16/07/2019 14:13,388,,16/07/2019 14:09,40.74971775,,-74.00295035,,W 26 St & 10 Ave,,10,W 26 St & 10 Ave,1,In Service,Falso,35,1
1,1,,12,27,,16/07/2019 14:13,402,,16/07/2019 14:10,40.7403432,,-73.98955109,,Broadway & E 22 St,,11,Broadway & E 22 St,1,In Service,Falso,39,1
